Non T2D 1	Non T2D 2	Non T2D 3	Non T2D 4	Non T2D 5	Non T2D 6
SGIP1	595	908	316	407	39	36
AZIN2	144	1922	269	491	757	139
CLIC4	2648	5080	13813	2218	573	1051
AGBL4	399	1664	578	140	125	70
NECAP2	3087	9516	1387	4752	1523	1421
SLC45A1	420	1553	54	592	555	181
TGFBR3	1378	3296	991	4628	614	392
DBT	1028	3543	2223	1268	591	195
RFWD2	640	2159	3721	2841	1064	552
C1orf21	2869	5516	2071	1502	1111	537
PRUNE	4116	21995	7787	5521	3304	1000
LIN9	358	175	519	229	49	57
PRKCZ	127	1345	176	1354	557	394
PRDM16	175	440	253	2443	517	623
C1orf159	417	2177	41	1127	647	215
CAMTA1	4200	21637	8410	6285	3605	1625
ICMT	3783	13386	4562	5889	2409	1297
LOC391003	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
LOC645382	0	0	0	0	0	0
EPHB2	62	1883	709	2650	637	736
PINK1	202	1909	286	9112	2713	1348
USP48	2410	11999	4973	3080	1924	484
PINK1-AS	110	208	206	391	190	92
EPB41	450	4236	1268	1569	769	198
KHDRBS1	3638	12028	10342	8573	4683	1743
EYA3	8193	12656	9053	1897	1617	610
NUDC	16471	47845	12727	14728	7306	3778
PUM1	6598	25912	9999	7969	4004	981
STMN1	8916	44649	31435	9519	10517	3509
THRAP3	23713	52920	15494	13182	5495	3402
SFPQ	3250	12100	6070	6981	3903	2120
CSMD2	97	85	17	73	22	135
MACF1	7096	33529	10593	9441	5474	2338
TRABD2B	0	0	7	16	22	2
PTPRF	7582	36772	8357	22496	6403	3474
GPBP1L1	6367	9656	7338	5167	2057	1195
RNF220	1494	4291	1414	7787	1730	976
TCEANC2	806	1986	909	531	191	110
SCP2	19884	63371	33648	15791	8066	2897
DAB1	13	230	0	77	25	31
RAB3B	39676	74869	33917	11308	16367	5496
USP24	1827	5435	4294	2093	996	386
FAF1	1280	5460	2240	2682	1443	533
FGGY	856	4656	1748	3197	1241	400
NFIA	3576	9608	3093	5094	1009	799
USP1	2408	7631	5857	2303	1562	299
CACHD1	317	163	190	159	24	85
LEPR	3502	6119	4304	402	667	413
ITGB3BP	745	2245	1770	643	545	126
NEGR1	467	1245	779	261	122	27
LRRC7	0	0	1	11	0	0
